User ID,Country,Photo Title,Date Taken,Latitude,Longitude,Photo URL,Description
24141292@N02,"Rugby, Warwickshire, UK",Flying out of Da Nang,2007-04-27 00:00:03,16.053773,108.196899,https://live.staticflickr.com/65535/52182780852_c69ea9afcf_o.jpg,Our flight northwards from Da Nang to Hanoi.
24141292@N02,"Rugby, Warwickshire, UK",Da Nang,2007-04-24 00:00:02,16.060124,108.222563,https://live.staticflickr.com/65535/52127543520_9dd9159af2_o.jpg,Temple next to the Cham Museum in Da Nang.
24141292@N02,"Rugby, Warwickshire, UK",Da Nang Museum,2007-04-24 00:00:01,16.060217,108.223142,https://live.staticflickr.com/65535/52127066163_42a1227b4d_o.jpg,"The Museum of Cham Sculpture in Da Nang contains the greatest concentration of art from the Hindu Champa culture that flourished in central and southern Vietnam from broadly the 5th to the 15th century.

The museum is not large but its several galleries contain an impressive display of statuary and carvings from various sites in the centre of the country, including sculptures of fanciful beasts and Hindu deities that would have once adorned temples.

We did not linger in Da Nang city itself but it was well worth pausing here to visit this fine museum.
<a href=""https://en.wikipedia.org/wiki/Museum_of_Cham_Sculpture"" rel=""noreferrer nofollow"">en.wikipedia.org/wiki/Museum_of_Cham_Sculpture</a>"
24141292@N02,"Rugby, Warwickshire, UK","Monster, Da Nang Museum",2007-04-24 00:00:00,16.060217,108.223142,https://live.staticflickr.com/65535/52127537450_0c2d45165f_o.jpg,"The Museum of Cham Sculpture in Da Nang contains the greatest concentration of art from the Hindu Champa culture that flourished in central and southern Vietnam from broadly the 5th to the 15th century.

The museum is not large but its several galleries contain an impressive display of statuary and carvings from various sites in the centre of the country, including sculptures of fanciful beasts and Hindu deities that would have once adorned temples.

We did not linger in Da Nang city itself but it was well worth pausing here to visit this fine museum.
<a href=""https://en.wikipedia.org/wiki/Museum_of_Cham_Sculpture"" rel=""noreferrer nofollow"">en.wikipedia.org/wiki/Museum_of_Cham_Sculpture</a>"
24141292@N02,"Rugby, Warwickshire, UK","Reclining Monster, Da Nang Museum",2007-04-24 00:00:08,16.060217,108.223142,https://live.staticflickr.com/65535/52126248893_411c4795d8_o.jpg,"The Museum of Cham Sculpture in Da Nang contains the greatest concentration of art from the Hindu Champa culture that flourished in central and southern Vietnam from broadly the 5th to the 15th century.

The museum is not large but its several galleries contain an impressive display of statuary and carvings from various sites in the centre of the country, including sculptures of fanciful beasts and Hindu deities that would have once adorned temples.

We did not linger in Da Nang city itself but it was well worth pausing here to visit this fine museum.
<a href=""https://en.wikipedia.org/wiki/Museum_of_Cham_Sculpture"" rel=""noreferrer nofollow"">en.wikipedia.org/wiki/Museum_of_Cham_Sculpture</a>"
24141292@N02,"Rugby, Warwickshire, UK",Da Nang Museum,2007-04-24 00:00:03,16.060217,108.223142,https://live.staticflickr.com/65535/52126246253_5c3ed6c504_o.jpg,"The Museum of Cham Sculpture in Da Nang contains the greatest concentration of art from the Hindu Champa culture that flourished in central and southern Vietnam from broadly the 5th to the 15th century.

The museum is not large but its several galleries contain an impressive display of statuary and carvings from various sites in the centre of the country, including sculptures of fanciful beasts and Hindu deities that would have once adorned temples.

We did not linger in Da Nang city itself but it was well worth pausing here to visit this fine museum.
<a href=""https://en.wikipedia.org/wiki/Museum_of_Cham_Sculpture"" rel=""noreferrer nofollow"">en.wikipedia.org/wiki/Museum_of_Cham_Sculpture</a>"
24141292@N02,"Rugby, Warwickshire, UK","Grumpy Garuda, Da Nang Museum",2007-04-24 00:00:05,16.060217,108.223142,https://live.staticflickr.com/65535/52126462009_9c9cd2cd90_o.jpg,"The Museum of Cham Sculpture in Da Nang contains the greatest concentration of art from the Hindu Champa culture that flourished in central and southern Vietnam from broadly the 5th to the 15th century.

The museum is not large but its several galleries contain an impressive display of statuary and carvings from various sites in the centre of the country, including sculptures of fanciful beasts and Hindu deities that would have once adorned temples.

We did not linger in Da Nang city itself but it was well worth pausing here to visit this fine museum.
<a href=""https://en.wikipedia.org/wiki/Museum_of_Cham_Sculpture"" rel=""noreferrer nofollow"">en.wikipedia.org/wiki/Museum_of_Cham_Sculpture</a>"
24141292@N02,"Rugby, Warwickshire, UK","Lion-Beast, Da Nang Museum",2007-04-24 00:00:04,16.060217,108.223142,https://live.staticflickr.com/65535/52126461689_c880a9f963_o.jpg,"The Museum of Cham Sculpture in Da Nang contains the greatest concentration of art from the Hindu Champa culture that flourished in central and southern Vietnam from broadly the 5th to the 15th century.

The museum is not large but its several galleries contain an impressive display of statuary and carvings from various sites in the centre of the country, including sculptures of fanciful beasts and Hindu deities that would have once adorned temples.

We did not linger in Da Nang city itself but it was well worth pausing here to visit this fine museum.
<a href=""https://en.wikipedia.org/wiki/Museum_of_Cham_Sculpture"" rel=""noreferrer nofollow"">en.wikipedia.org/wiki/Museum_of_Cham_Sculpture</a>"
24141292@N02,"Rugby, Warwickshire, UK",Da Nang Museum,2007-04-24 00:00:01,16.060217,108.223142,https://live.staticflickr.com/65535/52126461049_bb174339e3_o.jpg,"The Museum of Cham Sculpture in Da Nang contains the greatest concentration of art from the Hindu Champa culture that flourished in central and southern Vietnam from broadly the 5th to the 15th century.

The museum is not large but its several galleries contain an impressive display of statuary and carvings from various sites in the centre of the country, including sculptures of fanciful beasts and Hindu deities that would have once adorned temples.

We did not linger in Da Nang city itself but it was well worth pausing here to visit this fine museum.
<a href=""https://en.wikipedia.org/wiki/Museum_of_Cham_Sculpture"" rel=""noreferrer nofollow"">en.wikipedia.org/wiki/Museum_of_Cham_Sculpture</a>"
24141292@N02,"Rugby, Warwickshire, UK",Da Nang Museum,2007-04-24 00:00:02,16.060217,108.223142,https://live.staticflickr.com/65535/52126244658_2cfe1ce00e_o.jpg,"The Museum of Cham Sculpture in Da Nang contains the greatest concentration of art from the Hindu Champa culture that flourished in central and southern Vietnam from broadly the 5th to the 15th century.

The museum is not large but its several galleries contain an impressive display of statuary and carvings from various sites in the centre of the country, including sculptures of fanciful beasts and Hindu deities that would have once adorned temples.

We did not linger in Da Nang city itself but it was well worth pausing here to visit this fine museum.
<a href=""https://en.wikipedia.org/wiki/Museum_of_Cham_Sculpture"" rel=""noreferrer nofollow"">en.wikipedia.org/wiki/Museum_of_Cham_Sculpture</a>"
